City,State,Latitude,Longitude
New York, New York,36.102371,-115.174556
Los Angeles, California,34.052234,-118.243685
Chicago, Illinois ,41.878114,-87.629798
Houston, Texas,29.760427,-95.369803
Phoenix, Arizona,33.448377,-112.074037
Philadelphia, Pennsylvania,39.952584,-75.165222
San Antonio, Texas,29.424122,-98.493628
San Diego, California,32.715738,-117.161084
Dallas, Texas,32.776664,-96.796988
San Jose, California,37.338208,-121.886329
Austin, Texas,30.267153,-97.743061
Jacksonville, Florida,30.332184,-81.655651
Fort Worth, Texas,32.755488,-97.330766
San Francisco, California,37.774929,-122.419416
Columbus, Ohio,39.961176,-82.998794
Charlotte, North Carolina,35.227087,-80.843127
Indianapolis, Indiana,39.768403,-86.158068
Seattle, Washington,47.606209,-122.332071
Denver, Colorado,39.739236,-104.990251
Washington DC, District Of Columbia,38.907192,-77.036871
El Paso, Texas,31.761878,-106.485022
Boston, Massachusetts,42.360082,-71.05888
Nashville, Tennessee,36.162664,-86.781602
Detroit, Michigan,42.331427,-83.045754
Portland, Oregon,45.523062,-122.676482
Pittsburgh, Pennsylvania ,40.440625,-79.995886
